Year,Month,Bank,State,City,Effective_Days,ATM_Type,ATM_ID,Quarter,Fin_Txn,Non_Fin_Txn,Monthly_Txn,Monthly_Revenue,MHA_Revenue,ATM_Revenue_Total,Rent,Electricity_Bill,ATM_AMC,UPS_AMC,VSAT_AMC,Spare_Rep_SLM,Spare_Rep_AC,Spare_Rep_UPS,Compensation,Penalty,ATM_Housekeeping,Security,Insurance,Total_Cost,Gross_Profit,Gross_Profit_Percent,Txn_Range_Current,Txn_Range_Previous,Txn_Range_Previous_2,Margin_Status,Revenue_Performance,Uptime,Profit_Category
2023,Sep,SBI,Jharkhand,Ranchi,30,Onsite,SBIJR270329,Q3,1779,671.31,2450.31,30041.54,6008.31,36049.85,17361,4900.62,5124,1019,2999,2653,664,229,1606,1431,2186,4233,935,45340.62,81390.47,225.77,Medium,Medium,High,Below 0%,Poor,91.24,Loss
2024,Aug,SBI,Jharkhand,Hazaribagh,28,Brown Label,SBIJH104106,Q3,1341,693.61,2034.61,23583.03,4716.61,28299.63,27166,4069.21,4888,2631,1635,2918,1450,541,1982,1141,2775,3840,678,55714.21,84013.84,296.87,Medium,High,High,Below 0%,Poor,95.26,Loss
2024,Jul,SBI,Jharkhand,Jamshedpur,28,Brown Label,SBIJJ042710,Q3,1341,647.94,1988.94,23354.72,4670.94,28025.66,14023,3977.89,3683,2300,1508,2791,636,430,1745,1062,2397,2752,1203,38507.89,66533.55,237.4,Low,Medium,Medium,Below 0%,Poor,92.87,Loss
2024,Feb,SBI,Jharkhand,Hazaribagh,30,Brown Label,SBIJH125393,Q1,5535,2132.09,7667.09,93685.46,18737.09,112422.55,25968,15334.18,3542,1909,2719,609,1012,489,1737,1181,2832,3907,699,61938.18,174360.74,155.09,High,Medium,High,Above 0%,Poor,95.18,High Profit
2023,Mar,SBI,Jharkhand,Jamshedpur,29,Brown Label,SBIJJ211927,Q1,1333,703.49,2036.49,23512.44,4702.49,28214.93,18033,4072.98,5697,2822,2490,1942,860,344,1623,1427,1882,2246,1233,44671.98,72886.91,258.33,Medium,Medium,Low,Below 0%,Poor,98.55,Loss
2024,Aug,SBI,Jharkhand,Ranchi,26,Offsite,SBIJR090702,Q3,1225,508.84,1733.84,20919.18,4183.84,25103.02,22554,3467.67,4627,1524,1253,2901,830,554,1142,1457,2514,2123,1287,46233.67,71336.69,284.18,Low,Medium,Low,Below 0%,Poor,94.36,Loss
2023,Dec,SBI,Jharkhand,Dhanbad,28,Offsite,SBIJD199497,Q4,1004,515.11,1519.11,17635.53,3527.11,21162.64,13877,3038.21,5137,2159,2995,943,1982,1308,1149,1465,2253,4359,1006,41671.21,62833.85,296.91,Low,Low,High,Below 0%,Poor,90.85,Loss
2024,Jul,SBI,Jharkhand,Bokaro,30,Offsite,SBIJB186999,Q3,2227,1464.09,3691.09,40725.46,8145.09,48870.56,24416,7382.19,4132,2165,2772,2759,1288,367,1613,1444,1477,2328,618,52761.19,101631.74,207.96,Medium,High,Medium,Below 0%,Poor,91.04,Loss
2023,Mar,SBI,Jharkhand,Jamshedpur,28,Brown Label,SBIJJ028966,Q1,5693,3614.02,9307.02,103465.09,20693.02,124158.11,25524,18614.04,6972,2103,2165,768,995,630,1184,1192,2349,3219,689,66404.04,190562.15,153.48,High,Low,Low,Above 0%,Good,99.85,High Profit
2024,May,SBI,Jharkhand,Hazaribagh,28,Onsite,SBIJH222297,Q2,1486,933.36,2419.36,26956.78,5391.36,32348.14,27416,4838.71,5903,1328,2705,2172,1641,750,1052,1027,1315,3098,1176,54421.71,86769.85,268.24,Medium,Low,Low,Below 0%,Poor,93.0,Loss
2024,Apr,SBI,Jharkhand,Deoghar,29,Onsite,SBIJD151758,Q2,1016,442.33,1458.33,17451.65,3490.33,20941.98,22974,2916.66,4854,1662,2301,1949,1070,1078,1878,1403,1750,3219,910,47964.66,68906.64,329.04,Low,Medium,Medium,Below 0%,Poor,95.87,Loss
2024,Sep,SBI,Jharkhand,Jamshedpur,25,Brown Label,SBIJJ172691,Q3,5593,1797.17,7390.17,92880.83,18576.17,111456.99,28965,14780.33,3802,2123,2360,2603,1582,345,1489,1136,1217,3302,936,64640.33,176097.33,158.0,High,Low,Low,Above 0%,Poor,91.27,High Profit
2024,Aug,SBI,Jharkhand,Hazaribagh,26,Onsite,SBIJH245409,Q3,914,438.2,1352.2,15901.02,3180.2,19081.23,23376,2704.41,6089,2881,1454,1374,287,1085,1705,1441,2204,4484,980,50064.41,69145.64,362.38,Low,Medium,Low,Below 0%,Poor,97.83,Loss
2023,Nov,SBI,Jharkhand,Bokaro,27,Offsite,SBIJB189345,Q4,965,597.56,1562.56,17462.81,3492.56,20955.37,25082,3125.12,3985,2020,1006,1646,1618,554,1901,1073,2353,2830,1038,48231.12,69186.5,330.16,Low,High,High,Below 0%,Poor,92.56,Loss
2024,May,SBI,Jharkhand,Ranchi,26,Brown Label,SBIJR088258,Q2,4804,2412.5,7216.5,84122.49,16824.5,100946.99,28211,14433.0,4532,1797,1685,948,387,362,1471,1496,2393,2458,1246,61419.0,162365.98,160.84,High,Low,Low,Above 0%,Poor,96.72,High Profit
2024,Jul,SBI,Jharkhand,Bokaro,26,Onsite,SBIJB225604,Q3,832,526.36,1358.36,15111.8,3022.36,18134.16,26992,2716.72,3515,2579,2827,2251,263,1179,1238,1104,1944,4261,1083,51952.72,70086.88,386.49,Low,High,Low,Below 0%,Poor,96.22,Loss
2023,Jul,SBI,Jharkhand,Bokaro,27,Brown Label,SBIJB147647,Q3,5463,2515.89,7978.89,94524.44,18904.89,113429.33,16163,15957.78,3510,1895,2327,1986,1113,1435,1881,1324,2471,4860,1367,56289.78,169719.11,149.63,High,High,Medium,Above 0%,Poor,95.93,High Profit
2024,Feb,SBI,Jharkhand,Dhanbad,25,Offsite,SBIJD112994,Q1,2190,1489.54,3679.54,40297.71,8059.54,48357.25,27133,7359.08,6536,2358,2619,873,1901,1149,1828,1200,2271,2443,1229,58899.08,107256.33,221.8,Medium,Medium,High,Below 0%,Poor,96.37,Loss
2024,Jan,SBI,Jharkhand,Deoghar,28,Offsite,SBIJD126367,Q1,3949,2231.71,6180.71,70393.55,14078.71,84472.26,18562,12361.42,4570,1248,1287,1155,708,623,1103,1473,1729,2840,1430,49089.42,133561.68,158.11,High,Low,Medium,Above 0%,Poor,98.23,High Profit
2024,Dec,SBI,Jharkhand,Bokaro,27,Offsite,SBIJB265038,Q4,3090,2019.61,5109.61,56448.04,11289.61,67737.65,29060,10219.22,6368,2453,2480,2342,1924,994,1308,1012,1783,3180,1013,64136.22,131873.87,194.68,High,Medium,Medium,Above 0%,Poor,92.21,Low Profit
2024,Jul,SBI,Jharkhand,Bokaro,25,Brown Label,SBIJB203258,Q3,3186,1539.34,4725.34,55486.68,11097.34,66584.02,25536,9450.67,6437,1339,1323,2538,1321,365,1634,1451,2683,2617,625,57319.67,123903.69,186.09,Medium,High,Medium,Above 0%,Poor,99.58,Low Profit
2024,Feb,SBI,Jharkhand,Hazaribagh,27,Brown Label,SBIJH215659,Q1,578,336.05,914.05,10350.23,2070.05,12420.27,12025,1828.09,4771,1573,2484,2278,706,1371,1151,1290,2085,4673,718,36953.09,49373.36,397.52,Low,High,Medium,Below 0%,Poor,98.97,Loss
2023,Dec,SBI,Jharkhand,Jamshedpur,29,Offsite,SBIJJ199072,Q4,2067,1290.8,3357.8,37458.98,7491.8,44950.78,16219,6715.59,4939,1668,2270,2589,1316,1278,1343,1158,2866,4814,735,47910.59,92861.37,206.58,Medium,High,Low,Below 0%,Poor,99.09,Loss
2024,Jan,SBI,Jharkhand,Jamshedpur,26,Offsite,SBIJJ125463,Q1,5314,3639.73,8953.73,97908.63,19581.73,117490.36,24863,17907.45,6234,1720,2066,2211,1364,390,1798,1397,2624,4694,1359,68627.45,186117.81,158.41,High,Medium,Low,Above 0%,Poor,97.66,High Profit
2023,Jan,SBI,Jharkhand,Hazaribagh,28,Onsite,SBIJH063240,Q1,4359,1978.74,6337.74,75278.69,15055.74,90334.43,27613,12675.48,5066,1892,2222,2879,517,312,1227,1155,1316,4772,1049,62695.48,153029.9,169.4,High,Low,High,Above 0%,Poor,98.99,High Profit
